file,recursive_calls,unit_props,pure_literals,backtracks,avg_time_sec,median_time_sec,stdev_time_sec,result
uf50-0433.cnf,32,162,10,22,0.013257,0.013154,0.00036,SAT
uf50-0434.cnf,33,213,1,23,0.018738,0.018635,0.00038,SAT
uf50-0435.cnf,227,1530,49,214,0.104179,0.103781,0.000701,SAT
uf50-0436.cnf,66,535,17,56,0.032158,0.031989,0.000463,SAT
uf50-0437.cnf,67,432,10,57,0.034862,0.034711,0.000485,SAT
uf50-0438.cnf,45,377,3,35,0.02621,0.026117,0.000343,SAT
uf50-0439.cnf,37,200,12,26,0.018838,0.018672,0.00048,SAT
uf50-044.cnf,23,107,6,10,0.010208,0.010116,0.000336,SAT
uf50-0440.cnf,30,168,6,20,0.014596,0.014577,0.0001,SAT
uf50-0441.cnf,12,112,1,6,0.00871,0.008641,0.000328,SAT
uf50-0442.cnf,115,773,8,105,0.059465,0.058879,0.001586,SAT
uf50-0443.cnf,130,987,15,119,0.065685,0.065473,0.000581,SAT
uf50-0444.cnf,70,464,11,59,0.035426,0.035289,0.000461,SAT
uf50-0445.cnf,46,359,22,38,0.019875,0.019797,0.00033,SAT
uf50-0446.cnf,8,37,6,0,0.005436,0.00536,0.000346,SAT
uf50-0447.cnf,19,196,3,11,0.011656,0.011647,4.7e-05,SAT
uf50-0448.cnf,14,85,5,7,0.006984,0.006898,0.000339,SAT
uf50-0449.cnf,60,416,17,50,0.028534,0.028451,0.000378,SAT
uf50-045.cnf,12,73,5,2,0.007223,0.007229,3.3e-05,SAT
uf50-0450.cnf,13,61,4,2,0.007565,0.007492,0.000352,SAT
uf50-0451.cnf,64,433,10,55,0.033249,0.033154,0.000342,SAT
uf50-0452.cnf,24,189,7,18,0.014379,0.014313,0.000337,SAT
uf50-0453.cnf,69,561,13,57,0.038662,0.038572,0.000343,SAT
